Name,Formula,#CH3,#CH2,#CH,#C,#OH,#C-O-C,#O=C,DBA,#N,#Hal,O:C,M / g/mol,Tm / K,Tg / K,Tg/Tm,Tm/Tg,#S,#branching,#C:#OH,DBA:#C,#CH:#C,#Hal:#C
o-xylene,C8H10,2,0,4,2,0,0,0,4,0,0,0.0,106.0,247.95,123.0,0.496067756,2.015853659,0,6,0.0,2.0,2.0,0.0
m-xylene,C8H10,2,0,4,2,0,0,0,4,0,0,0.0,106.0,225.35,122.75,0.544708232,1.835845214,0,6,0.0,2.0,2.0,0.0
2-methylpentane,C6H14,3,2,1,0,0,0,0,0,0,0,0.0,86.0,119.7,78.66666667,0.657198552,1.521610169,0,1,0.0,0.0,0.0,0.0
triphenylethene,C20H16,0,0,16,4,0,0,0,13,0,0,0.0,256.0,345.65,246.0,0.711702589,1.405081301,0,20,0.0,3.25,4.0,0.0
n-buten,C4H8,1,2,1,0,0,0,0,1,0,0,0.0,56.0,87.905,59.5,0.676867072,1.477394958,0,1,0.0,0.0,0.0,0.0
4-methylstyrene,C9H10,1,1,5,2,0,0,0,5,0,0,0.0,118.0,239.05,167.0,0.69859862,1.431437126,0,7,0.0,2.5,2.5,0.0
o-terphenyl,C18H14,0,0,14,4,0,0,0,12,0,0,0.0,230.0,329.64,245.72,0.745419245,1.341526941,0,18,0.0,3.0,3.5,0.0
toluol,C7H8,1,0,5,1,0,0,0,4,0,0,0.0,92.0,178.04,115.93,0.65114581,1.535754335,0,6,0.0,4.0,5.0,0.0
ethylbenzene,C8H10,1,1,5,1,0,0,0,4,0,0,0.0,106.0,178.1266667,112.3333333,0.630637374,1.58569733,0,6,0.0,4.0,5.0,0.0
propylbenzene,C9H12,1,2,5,1,0,0,0,4,0,0,0.0,120.0,173.675,123.05,0.708507269,1.411418123,0,6,0.0,4.0,5.0,0.0
n-pentylbenzene,C11H16,1,4,5,1,0,0,0,4,0,0,0.0,148.0,196.075,128.0,0.652811424,1.531835938,0,6,0.0,4.0,5.0,0.0
n-hexylbenzene,C12H18,1,5,5,1,0,0,0,4,0,0,0.0,162.0,208.575,137.0,0.656838068,1.522445255,0,6,0.0,4.0,5.0,0.0
sec-butylbenzene,C10H14,2,1,6,1,0,0,0,4,0,0,0.0,134.0,194.225,127.5,0.656455142,1.523333333,0,7,0.0,4.0,6.0,0.0
tert-butyl-benzene,C10H14,3,0,5,2,0,0,0,4,0,0,0.0,134.0,215.175,142.0,0.659927966,1.515316901,0,7,0.0,2.0,2.5,0.0
3-methylheptane,C8H18,3,4,1,0,0,0,0,0,0,0,0.0,114.0,151.335,102.5,0.677305316,1.476439024,0,1,0.0,0.0,0.0,0.0
cyclohexene,C6H10,0,4,2,0,0,0,0,2,0,0,0.0,82.0,170.0,92.0,0.541176471,1.847826087,0,2,0.0,0.0,0.0,0.0
methylcyclohexane,C7H14,1,5,1,0,0,0,0,1,0,0,0.0,98.0,146.775,85.0,0.579117697,1.726764706,0,1,0.0,0.0,0.0,0.0
ethylcyclohexane,C8H16,1,6,1,0,0,0,0,1,0,0,0.0,112.0,161.95,98.0,0.605125039,1.65255102,0,1,0.0,0.0,0.0,0.0
isopropylcyclohexane,C9H18,2,5,2,0,0,0,0,1,0,0,0.0,126.0,183.8,108.0,0.587595212,1.701851852,0,2,0.0,0.0,0.0,0.0
sec-butylcyclohexane,C10H20,2,6,2,0,0,0,0,1,0,0,0.0,140.0,178.4,123.0,0.689461883,1.450406504,0,2,0.0,0.0,0.0,0.0
n-butylcyclohexane,C10H20,1,8,1,0,0,0,0,1,0,0,0.0,140.0,198.21,119.0,0.600373341,1.665630252,0,1,0.0,0.0,0.0,0.0
n-pentylcyclohexane,C11H22,1,9,1,0,0,0,0,1,0,0,0.0,154.0,215.65,125.0,0.57964294,1.7252,0,1,0.0,0.0,0.0,0.0
n-hexylcyclohexane,C12H24,1,10,1,0,0,0,0,1,0,0,0.0,168.0,230.15,133.0,0.577883989,1.730451128,0,1,0.0,0.0,0.0,0.0
trans-2-hexene,C6H12,2,2,2,0,0,0,0,1,0,0,0.0,84.0,140.15,85.0,0.606493043,1.648823529,0,2,0.0,0.0,0.0,0.0
1-heptene,C7H14,1,5,1,0,0,0,0,1,0,0,0.0,98.0,154.25,91.0,0.589951378,1.695054945,0,1,0.0,0.0,0.0,0.0
cis-2-octene,C8H16,2,4,2,0,0,0,0,1,0,0,0.0,112.0,172.95,101.0,0.58398381,1.712376238,0,2,0.0,0.0,0.0,0.0
3-methylhexane,C7H16,3,3,1,0,0,0,0,0,0,0,0.0,100.0,153.875,89.5,0.581640942,1.719273743,0,1,0.0,0.0,0.0,0.0
4-methylnonane,C10H22,3,6,1,0,0,0,0,0,0,0,0.0,142.0,174.15,123.0,0.706287683,1.415853659,0,1,0.0,0.0,0.0,0.0
2-isopropoxyethanol,C5H12O2,2,2,1,0,1,1,0,0,0,0,0.4,104.0,191.58,141.0,0.735984967,1.358723404,0,1,0.0,0.0,0.0,0.0
"2,5-hexanediol",C6H14O2,2,2,2,0,2,0,0,0,0,0,0.3333,118.0,316.15,203.5,0.643681797,1.553562654,0,2,0.0,0.0,0.0,0.0
